% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
91.8,34.6,18.3,3.2,0.394,0.091338124618357,0.11824508752024995,0.12967309207396122
88.3,36.2,21.9,3.5,0.07,0.10154842489321773,0.13287111819154626,0.1514943577261341
84.4,26.1,33.8,5.6,0.403,0.17085579532442,0.08963903079231787,0.09753096748218291
85.3,33.4,29.0,5.2,0.154,0.16253980910417323,0.12265943741347123,0.14363901144396915
85.2,27.4,30.9,4.1,0.379,0.15833946386337294,0.09140168706826664,0.1012689058176385
91.7,27.9,22.2,3.4,0.561,0.08133523977122745,0.12152441706995161,0.13589762978442588
88.8,25.2,28.4,4.0,0.362,0.16313249340457447,0.09157862520067306,0.10234811639564824
86.7,23.8,27.7,4.8,0.563,0.14982922814994742,0.1005117279926894,0.11051292384494842
89.9,29.9,29.3,5.6,0.476,0.20769210992796763,0.08927411917410975,0.10059711646407907
88.9,27.8,24.8,3.9,0.38,0.13994113647781706,0.10544651952735734,0.11796105843010306
86.1,31.4,23.3,3.6,0.109,0.1615994848492918,0.10476853320034957,0.11665089098316803
84.9,25.1,30.1,3.9,0.459,0.16657491020175233,0.08590195486029518,0.09414616133472088
90.5,26.3,25.0,3.7,0.568,0.1114851821537226,0.10639815915864902,0.1157308541689188
85.1,24.3,30.6,4.6,0.478,0.18255103645432222,0.09440738037732502,0.10184803777282275
81.4,26.7,29.9,4.2,0.426,0.1469564179258873,0.11591964694075628,0.1273985869292235
91.0,30.7,25.6,4.6,0.423,0.10601982156792912,0.1024947219521018,0.11379828534617407
91.7,35.8,25.6,4.3,0.482,0.15672288410954666,0.09941165093609779,0.10943795451028934
87.9,35.5,23.8,3.3,0.397,0.1022317781009139,0.11722134527949793,0.13230551697336626
90.4,31.7,26.0,4.2,0.339,0.15886047457976796,0.11197822981268703,0.12321018106300134
84.5,18.6,31.0,4.3,0.571,0.16212658992588438,0.08046670190845047,0.08831357276169721
90.7,27.1,24.8,3.2,0.44,0.13945564556656684,0.09563338317975914,0.10684861049082268
91.7,24.7,18.7,4.6,0.597,0.07567345076125326,0.12294810592672462,0.1379982372389973
84.5,23.5,30.7,4.5,0.516,0.16036586135393283,0.08647751721731152,0.09532319051556733
91.6,28.0,19.6,2.3,0.576,0.13070747718635042,0.14301729569335203,0.15675914070280267
85.9,27.4,32.1,5.6,0.366,0.14141066615461706,0.09086974432368422,0.10081197629632345
84.4,20.6,28.3,4.8,0.5,0.15796798824761368,0.08604999205079675,0.0952210633458241
81.7,31.0,26.2,5.7,0.155,0.10539174767473332,0.12545758332890666,0.14551771964505694
90.5,37.8,25.5,4.6,0.394,0.09304623527062113,0.10867889954064311,0.12373512083083683
89.7,37.2,23.7,3.4,0.141,0.13208917349573837,0.13969556520830534,0.1670579762064693
88.3,29.8,23.8,3.4,0.289,0.14483397282575036,0.10644378316045902,0.11996838420271862
86.8,27.2,28.5,6.4,0.279,0.1569903366583541,0.09880354995518321,0.11018440608887035
85.5,28.3,31.8,5.1,0.379,0.16699995630066833,0.09402133937041951,0.10547738700551033
91.0,31.2,17.7,4.4,0.073,0.12363147605083089,0.12354061139251754,0.13770416777748157
89.4,26.2,24.1,6.3,0.542,0.13977151654491418,0.08887472832967142,0.09820166562161739
87.8,32.1,24.5,4.8,0.244,0.1417667397454667,0.11045918809989755,0.12662101036057666
87.6,23.8,27.9,4.4,0.406,0.1355013918935957,0.0933853533968808,0.10388061135248829
91.6,26.4,23.5,3.6,0.401,0.12825824759405569,0.09665097083098409,0.10793894883470352
90.1,31.1,23.8,3.8,0.452,0.10813492330719592,0.10668187683000083,0.11898675530582395
84.1,22.6,32.0,4.8,0.498,0.18029247963940448,0.08316017079976055,0.0925793097302276
83.1,22.5,30.8,5.5,0.487,0.17511742332403052,0.09946138903532045,0.1097945258192436
91.8,28.2,28.2,4.4,0.496,0.18790876524139744,0.08731262073523881,0.09720934988296213
89.1,37.4,21.0,3.3,0.18,0.11858461937011953,0.12382609821990305,0.14309680433736724
89.9,40.3,24.7,4.5,0.085,0.1387265255462538,0.12668920850318235,0.14952776087884775
89.4,26.9,30.3,4.8,0.36,0.17497089341431862,0.09073429483784069,0.10198600587715587
92.4,33.5,25.5,3.2,0.424,0.09970216334882738,0.10537775819664011,0.12146857903520547
82.4,20.4,35.2,6.7,0.502,0.19976132032755212,0.08550910080824783,0.0930081704708149
88.7,27.0,27.7,4.6,0.486,0.14373005853516913,0.0917958925079131,0.10262720533185941
92.7,29.0,23.3,5.6,0.633,0.11226765250265822,0.089897068089631,0.1003869176544717
90.2,29.4,25.7,3.4,0.405,0.09700525199875715,0.10560788087256819,0.11774524041890062
85.2,22.5,23.9,5.8,0.351,0.12658455111907285,0.09728897005798094,0.10863509916005948
