House Leaning,Senate Leaning,Average Leaning,LocYear,Geography,% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",GeoFIPS,HFR,SNAP_rate,DPI_rate,PI_rate
-0.23404255319148937,-0.1063829787234043,-0.17021276595744683,ND2010,0400000US38,0.903,0.276,0.207,0.0409999999999999,38000,0.543,0.0875247849592742,0.0969266650499978,0.106125272812861
0.07070707070707072,-0.2727272727272727,-0.101010101010101,OH2010,0400000US39,0.8809999999999999,0.246,0.2739999999999999,0.04,39000,0.357,0.1488966127786865,0.0842786602449555,0.0933034788884847
-0.20792079207920788,-0.08333333333333331,-0.1456270627062706,OK2010,0400000US40,0.862,0.2289999999999999,0.254,0.038,40000,0.488,0.1451534900858991,0.0897565806139603,0.0974871576925787
0.19999999999999996,0.19999999999999996,0.19999999999999996,OR2010,0400000US41,0.888,0.288,0.266,0.0579999999999999,41000,0.409,0.1871628126706464,0.0821222622760903,0.0915154362211265
0.029556650246305438,-0.19999999999999996,-0.08522167487684726,PA2010,0400000US42,0.884,0.271,0.243,0.036,42000,0.355,0.1241282974374142,0.0976787215636857,0.108454669035642
0.8400000000000001,0.7631578947368421,0.8015789473684212,RI2010,0400000US44,0.835,0.302,0.235,0.052,44000,0.091,0.1519730545992368,0.1013557215476205,0.1117933357362134
-0.1774193548387097,-0.17391304347826092,-0.1756661991584853,SC2010,0400000US45,0.841,0.245,0.309,0.0409999999999999,45000,0.418,0.1503866541992616,0.079266864351113,0.0861510747459539
-0.3142857142857143,-0.19999999999999996,-0.2571428571428571,SD2010,0400000US46,0.8959999999999999,0.263,0.268,0.04,46000,0.523,0.1097709708266056,0.0985903967644338,0.1056039253186186
-0.03030303030303033,-0.15151515151515155,-0.09090909090909094,TN2010,0400000US47,0.836,0.231,0.291,0.0409999999999999,47000,0.438,0.1759009744483363,0.0871307919200643,0.093258676023687
-0.026666666666666616,-0.22580645161290325,-0.12623655913978493,TX2010,0400000US48,0.807,0.259,0.291,0.039,48000,0.346,0.1336869114088835,0.1034822943186738,0.1123801990784861
-0.41333333333333333,-0.4482758620689655,-0.4308045977011494,UT2010,0400000US49,0.906,0.293,0.237,0.047,49000,0.416,0.0985812903042527,0.092175449561092,0.101065878810261
0.3133333333333333,0.49999999999999994,0.4066666666666666,VT2010,0400000US50,0.91,0.336,0.243,0.046,50000,0.484,0.1406613680416624,0.0927460474385222,0.1011540467534894
-0.19999999999999996,0.10000000000000003,-0.04999999999999996,VA2010,0400000US51,0.865,0.342,0.223,0.0279999999999999,51000,0.363,0.0910669582174414,0.1087623282004536,0.1218545128665045
0.2653061224489796,0.2653061224489796,0.2653061224489796,WA2010,0400000US53,0.898,0.311,0.259,0.042,53000,0.338,0.1438268907878933,0.1005938555267384,0.1094943232536577
0.42,0.5294117647058822,0.4747058823529411,WV2010,0400000US54,0.8320000000000001,0.175,0.295,0.046,54000,0.572,0.1593053346631803,0.0747096800280346,0.0815862468663234
0.06060606060606066,0.09090909090909088,0.07575757575757577,WI2010,0400000US55,0.901,0.263,0.236,0.035,55000,0.431,0.1179268376140365,0.0881092697974847,0.0975028646230893
-0.3666666666666667,-0.5333333333333334,-0.45000000000000007,WY2010,0400000US56,0.923,0.241,0.1939999999999999,0.036,56000,0.572,0.0699317334147206,0.1070371583865567,0.1175271428122601
-0.2571428571428571,-0.2857142857142857,-0.2714285714285714,AL2011,0400000US01,0.8270000000000001,0.223,0.293,0.0409999999999999,1000,0.513,0.1747692928232746,0.0828580040833896,0.091015458546439
-0.19999999999999996,0.0,-0.09999999999999998,AK2011,0400000US02,0.918,0.264,0.178,0.022,2000,0.627,0.1269226285314576,0.1351929429137683,0.1471674503555745
-0.3333333333333333,-0.39999999999999997,-0.36666666666666664,AZ2011,0400000US04,0.857,0.266,0.3339999999999999,0.053,4000,0.329,0.1461731580969035,0.087488704635503,0.096433784440516
0.11000000000000004,0.14285714285714285,0.12642857142857145,AR2011,0400000US05,0.838,0.203,0.287,0.0409999999999999,5000,0.527,0.1604696968218931,0.081060923838772,0.0890809057298507
0.30000000000000004,0.25,0.275,CA2011,0400000US06,0.8109999999999999,0.303,0.263,0.051,6000,0.16,0.0965645053394716,0.1206733830346812,0.1374178616080225
-0.01538461538461533,0.14285714285714285,0.06373626373626376,CO2011,0400000US08,0.902,0.367,0.25,0.047,8000,0.36,0.0912797890844735,0.1001468572250109,0.1133316087776173
0.3245033112582782,0.27777777777777773,0.30114054451802796,CT2011,0400000US09,0.8909999999999999,0.362,0.241,0.034,9000,0.163,0.1200435322048795,0.1438173393418232,0.167430157223468
0.2682926829268293,0.3333333333333333,0.30081300813008127,DE2011,0400000US10,0.87,0.288,0.211,0.0279999999999999,10000,0.309,0.1270738793248337,0.106412518908017,0.1193323969363009
-0.35000000000000003,-0.39999999999999997,-0.375,FL2011,0400000US12,0.8590000000000001,0.258,0.284,0.0559999999999999,12000,0.325,0.1477686717514627,0.0985029445069947,0.108326448580784
-0.2611111111111111,-0.28571428571428575,-0.27341269841269844,GA2011,0400000US13,0.843,0.276,0.316,0.053,13000,0.421,0.1563907373269515,0.0928568607846178,0.1031483381799388
0.6862745098039216,0.9199999999999999,0.8031372549019608,HI2011,0400000US15,0.906,0.291,0.203,0.047,15000,0.081,0.1204869773030767,0.1199037816315656,0.1320358567246964
-0.6285714285714286,-0.6000000000000001,-0.6142857142857143,ID2011,0400000US16,0.8859999999999999,0.252,0.255,0.06,16000,0.466,0.1443605834610207,0.0834315477780669,0.0914807658830768
0.0847457627118644,0.18644067796610164,0.13559322033898302,IL2011,0400000US17,0.872,0.31,0.251,0.044,17000,0.243,0.1286261865639001,0.105796747788993,0.1199504644930093
-0.18999999999999995,-0.48,-0.33499999999999996,IN2011,0400000US18,0.873,0.23,0.272,0.038,18000,0.351,0.1311854229501631,0.0898583403827391,0.0996028147902546
-0.19999999999999996,0.040000000000000036,-0.07999999999999996,IA2011,0400000US19,0.906,0.258,0.23,0.031,19000,0.376,0.1146951136825927,0.0930910241501029,0.1031421843987951
-0.472,-0.6000000000000001,-0.536,KS2011,0400000US20,0.9,0.301,0.244,0.034,20000,0.444,0.1032094915045007,0.1006583455946758,0.1118260762221328
0.15999999999999998,-0.1842105263157895,-0.012105263157894758,KY2011,0400000US21,0.831,0.211,0.321,0.038,21000,0.529,0.1794712624705914,0.0817295145006321,0.0905309622314958
